agecat	population	confirmed	baseline_t1dm	incident_t1dm	var	sex	eth5	baseline_t1dm_percent	incident_t1dm_percent	confirmed_percent
"Children"	4239802	4069	9300	0	"Overall"	""		228.5574	0	43.75269
"Children"	2175399	1994	4843	0	"Sex"	"M"		242.8786	0	41.17282
"Children"	2064403	2075	4457	0	"Sex"	"F"		214.7952	0	46.55598
"Children"	95030	94	195	0	"Eth"	""	"Black"	207.4468	0	48.20513
"Children"	2098451	1328	5245	0	"Eth"	""	"White"	394.9548	0	25.31935
"Children"	1601273	1482	3107	0	"Eth"	""	"Unknown"	209.6491	0	47.69875
"Children"	282430	1024	469	0	"Eth"	""	"South Asian"	45.80078	0	218.3369
"Children"	94899	85	163	0	"Eth"	""	"Mixed"	191.7647	0	52.14724
"Children"	67719	56	121	0	"Eth"	""	"Other"	216.0714	0	46.28099
"Adults 18-45"	7693064	25704	42537	0	"Overall"	""		165.4879	0	60.42739
"Adults 18-45"	3745644	15227	18359	0	"Sex"	"F"		120.5687	0	82.94025
"Adults 18-45"	3947420	10477	24178	0	"Sex"	"M"		230.7722	0	43.33278
"Adults 18-45"	2077117	5860	10112	0	"Eth"	""	"Unknown"	172.5597	0	57.95095
"Adults 18-45"	116747	389	481	0	"Eth"	""	"Mixed"	123.6504	0	80.87318
"Adults 18-45"	4430375	11806	28435	0	"Eth"	""	"White"	240.8521	0	41.51925
"Adults 18-45"	196235	871	881	0	"Eth"	""	"Black"	101.1481	0	98.86493
"Adults 18-45"	222453	553	478	0	"Eth"	""	"Other"	86.43761	0	115.6904
"Adults 18-45"	650137	6225	2150	0	"Eth"	""	"South Asian"	34.53815	0	289.5349
"Adults 46-105"	9816938	47803	81312	0	"Overall"	""		170.0981	0	58.7896
"Adults 46-105"	5026950	25610	34943	0	"Sex"	"F"		136.4428	0	73.29079
"Adults 46-105"	4789988	22193	46369	0	"Sex"	"M"		208.9353	0	47.86172
"Adults 46-105"	6600298	30274	53131	0	"Eth"	""	"White"	175.5004	0	56.97992
"Adults 46-105"	384200	4544	4892	0	"Eth"	""	"South Asian"	107.6584	0	92.88634
"Adults 46-105"	102277	553	716	0	"Eth"	""	"Other"	129.4756	0	77.23463
"Adults 46-105"	55804	388	503	0	"Eth"	""	"Mixed"	129.6392	0	77.13718
"Adults 46-105"	148654	1162	1886	0	"Eth"	""	"Black"	162.3064	0	61.61188
"Adults 46-105"	2525705	10882	20184	0	"Eth"	""	"Unknown"	185.4806	0	53.91399
